City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,272.77,98,96,0.8,CL,1715239833
84,invercargill,-46.4,168.35,282.05,79,86,3.58,NZ,1715239833
85,medina,24.4686,39.6142,304.39,11,0,6.17,SA,1715239761
86,talakan,50.3167,130.3667,287.41,20,5,7.49,RU,1715239833
87,ondjiva,-17.0667,15.7333,298.17,57,8,3.6,AO,1715239833
88,waingapu,-9.6567,120.2641,301.56,66,41,5.72,ID,1715239834
89,tabou,4.423,-7.3528,301.6,80,93,1.03,CI,1715239834
90,poli,-3.3333,36.8,290.58,88,75,4.12,TZ,1715239834
91,bredasdorp,-34.5322,20.0403,289.2,65,0,1.94,ZA,1715239834
92,harper,4.375,-7.7169,301.15,83,100,1.38,LR,1715239834
93,flying fish cove,-10.4217,105.6791,300.97,83,100,5.66,CX,1715239834
94,lihue,21.9789,-159.3672,295.92,78,75,4.12,US,1715239835
95,dikhil,11.5,42.1667,305.94,44,63,3.18,DJ,1715239835
96,toliara,-23.35,43.6667,301.61,46,0,1.99,MG,1715239835
97,ilulissat,69.2167,-51.1,269.16,80,100,3.09,GL,1715239835
98,cuyo,10.8525,121.0086,303.27,68,39,2.82,PH,1715239835
99,comodoro rivadavia,-45.8667,-67.5,276.07,93,96,1.03,AR,1715239584
100,paradip garh,20.3167,86.6167,306.85,56,10,8.52,IN,1715239836
101,puerto baquerizo moreno,-0.9,-89.6,295.74,89,100,4.4,EC,1715239836
102,ribas do rio pardo,-20.4431,-53.7592,294.31,67,62,1.31,BR,1715239837
103,vadso,70.0744,29.7487,273.24,64,75,3.09,NO,1715239837
104,anadyr,64.75,177.4833,267.43,73,75,6.71,RU,1715239837
105,lompoc,34.6391,-120.4579,284.59,93,0,3.09,US,1715239837
106,trincomalee,8.5711,81.2335,302.12,78,68,6.33,LK,1715239837
107,egilsstadir,65.2653,-14.3948,276.1,70,0,3.6,IS,1715239839
108,chukhloma,58.7525,42.6825,271.53,54,100,6.71,RU,1715239840
109,qusmuryn,52.4503,64.6311,294.77,46,100,11.24,KZ,1715239840
110,port mathurin,-19.6833,63.4167,298.56,76,100,11.56,MU,1715239840
111,aasiaat,68.7098,-52.8699,262.69,87,23,2.05,GL,1715239840
112,iskateley,67.6803,53.1512,268.16,88,100,7.15,RU,1715239840
113,badger,64.8,-147.5333,282.79,59,75,3.09,US,1715239677
114,fauske,67.2588,15.3918,280.17,88,100,3.43,NO,1715239841
115,trairi,-3.2778,-39.2689,296.3,98,85,3.31,BR,1715239841
116,sola,-13.8833,167.55,299.62,65,100,10.24,VU,1715239841
117,ourem,39.6417,-8.5919,291.74,48,100,2.38,PT,1715239841
118,st. john's,47.5649,-52.7093,278.23,93,75,3.09,CA,1715239809
119,maine soroa,13.2114,12.0241,309.73,12,68,3.83,NE,1715239841
120,lebu,-37.6167,-73.65,281.0,85,100,2.06,CL,1715239842
121,kayenta,36.7278,-110.2546,280.74,27,96,2.6,US,1715239842
122,la ronge,55.1001,-105.2842,286.29,71,100,3.6,CA,1715239842
123,hawaiian paradise park,19.5933,-154.9731,294.84,96,40,2.06,US,1715239842
124,dwarka,22.2394,68.9678,303.25,70,0,5.04,IN,1715239842
125,'ali al gharbi,32.4633,46.6864,302.15,19,0,7.24,IQ,1715239843
